asset,entry_date,exit_date,days,rank,score,realized_return,rs_accel,bb_quality,macd_slope,extension_atr,higher_low_atr
VGX,2024-06-29,2024-07-06,7,1,0.64,-0.2169011319052988,0.41531147746655905,0.5016666666666666,0.1456560978125318,0.935394675901329,0.40149460774374085
AMP,2024-08-17,2024-08-31,14,1,0.55,0.014348910296412054,0.22376081998359598,0.1808333333333333,0.06816731689372947,0.24602910701251365,1.3737687521720205
NEXO,2024-10-12,2024-10-26,14,1,0.675,-0.04399904208416838,0.023461455803675313,0.538685138446963,0.06631466960676434,0.03636879717509873,0.378759631474913
VIDT,2024-11-09,2024-11-16,7,1,0.7000000000000001,0.09704711572802194,0.2945135480494274,0.6008333333333333,0.08236965390758594,0.20392827026796828,0.22303477771637012
UMA,2024-11-23,2024-12-21,28,1,0.6500000000000001,0.018667436370481738,0.0940222365734783,0.2538570849751311,0.053740172146304964,0.6049247125822372,0.41567083528534
AERGO,2024-12-28,2025-01-04,7,1,0.6500000000000001,-0.10199646341463398,0.14251029397100978,0.5366666666666666,0.078831280350385,0.6041483612337027,1.0553080949517561
TRX,2025-02-01,2025-02-08,7,1,0.7500000000000001,-0.09558617021276605,0.17563970226131198,0.4123024925178161,0.06478822418868285,0.5370835924776582,0.6499447848387876
MASK,2025-02-15,2025-02-22,7,1,0.6600000000000001,-0.06458694667235487,0.2876661606068953,0.6241666666666665,0.023772837358351593,0.14936458811098072,1.23794913271215
REQ,2025-02-22,2025-03-01,7,1,0.7500000000000001,0.06459969283611366,0.21260633905621118,0.595,0.04746094860076294,0.25917453715590094,0.6834804700118584
IOST,2025-04-19,2025-05-03,14,1,0.6296296296296297,0.06587779489904366,0.1731663658882504,0.5891666666666666,0.11201938721532659,0.3658378706453872,1.9914411927763165
CITY,2025-05-03,2025-05-17,14,1,0.7500000000000001,0.06369448331830485,0.01371753666034592,0.6766666666666666,0.040990019835214955,0.9437813712431475,0.44168822577917016
HEI,2025-06-14,2025-06-21,7,1,0.5,-0.07450334615384613,0.19986606806273166,0.5009803921568627,0.07104882664883086,0.2573247658388062,0.28958903115622414
GNS,2025-06-21,2025-07-05,14,1,0.6250000000000001,0.18342195081967216,0.18080102381655871,0.7607851696308465,0.03510848060883567,0.9111739569373313,0.31949178075578283
NOT,2025-08-09,2025-08-16,7,1,0.6250000000000001,-0.1502607893569845,0.12024805110979375,0.6183333333333333,0.10364955458944702,0.8401223380794746,0.5947999629546356
BERA,2025-08-16,2025-09-06,21,1,0.7500000000000001,0.03631463691026826,0.35415093190867475,0.5658333333333333,0.05991816262907504,0.6655547008043683,1.098634618171233
PUNDIX,2025-10-04,2025-10-11,7,1,0.6428571428571428,-0.2794053678022309,0.03815343981599395,0.6649999999999999,0.07037061744786602,0.8410572233343364,0.6866915654119051
NIL,2025-10-25,2025-11-01,7,1,0.5,-0.28477116912456846,0.40737378427938375,0.06999999999999998,0.0844597152486909,0.658276188223884,1.1935654948769048
0G,2026-04-04,2026-04-25,21,1,0.6500000000000001,0.07974203428571403,0.18754790030689705,0.5891666666666666,0.12239363071302975,0.021102863061380477,0.025782191449674228
ONDO,2026-04-25,2026-05-16,21,1,0.5500000000000002,0.38386932557251896,0.10456653589056708,0.6883333333333332,0.024319305580699956,0.20080669022506442,0.5966872292440057
CHZ,2026-05-16,2026-05-23,7,1,0.39999999999999997,-0.11831562225636527,0.09305444201411084,0.48999999999999994,0.04471967409915982,0.5633831744789431,0.9856378621473951
HUMA,2026-05-23,2026-06-06,14,1,0.6000000000000001,-0.09094663710021322,0.40285763078697456,0.6941666666666666,0.07381963361686412,0.4440725563449045,0.03499272468359367
FORM,2026-08-01,2026-08-15,14,1,0.8000000000000002,-0.023849569252736846,0.3209886394312419,0.6982170775009735,0.10472986796793354,0.7544958715425345,0.7789590467841114
WLD,2026-08-15,2026-08-29,14,1,0.5499999999999999,0.10892243316759309,0.34980383821907,0.6358333333333333,0.04227166603898127,0.3737824690675966,0.3891910267197072
